	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_genres	album_popularity	album_release_date
0	51	07ZbFpUwK7n5ZTBRvNJ3TN	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Выдыхай	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	4	spotify:track:07ZbFpUwK7n5ZTBRvNJ3TN	76.118	audio_features	4	-4.911	0	0.332	0.639	0.302	0.36	0.917	https://api.spotify.com/v1/tracks/07ZbFpUwK7n5ZTBRvNJ3TN	https://api.spotify.com/v1/audio-analysis/07ZbFpUwK7n5ZTBRvNJ3TN	188093	3	0.273	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
1	45	1MmKpOCDT8tXCor0W6LQOt	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Моё море	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	2	spotify:track:1MmKpOCDT8tXCor0W6LQOt	95.013	audio_features	9	-6.267	0	0.0424	0.11	0.479	0.771	0.665	https://api.spotify.com/v1/tracks/1MmKpOCDT8tXCor0W6LQOt	https://api.spotify.com/v1/audio-analysis/1MmKpOCDT8tXCor0W6LQOt	146640	4	0.634	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
2	40	2TxV8a86SRwzCoUJy1b8ts	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Давай приколемся	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	True	1	8	spotify:track:2TxV8a86SRwzCoUJy1b8ts	96.986	audio_features	1	-6.486	1	0.302	0.194	0.893	0.659	0.817	https://api.spotify.com/v1/tracks/2TxV8a86SRwzCoUJy1b8ts	https://api.spotify.com/v1/audio-analysis/2TxV8a86SRwzCoUJy1b8ts	209093	4	0.243	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
3	39	3EHrysZazaub4pkXPwCpyO	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Это был дождь	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	6	spotify:track:3EHrysZazaub4pkXPwCpyO	104.952	audio_features	11	-6.411	0	0.048	0.377	0.547	0.627	0.86	https://api.spotify.com/v1/tracks/3EHrysZazaub4pkXPwCpyO	https://api.spotify.com/v1/audio-analysis/3EHrysZazaub4pkXPwCpyO	262827	4	0.0145	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
4	27	66HpxYFIcvXr3O70KER3pm	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Суицид	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	True	1	7	spotify:track:66HpxYFIcvXr3O70KER3pm	125.429	audio_features	5	-5.213	0	0.275	0.201	0.432	0.565	0.854	https://api.spotify.com/v1/tracks/66HpxYFIcvXr3O70KER3pm	https://api.spotify.com/v1/audio-analysis/66HpxYFIcvXr3O70KER3pm	233773	5	0.342	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
5	26	5k4iW5xDJoqWlEwu64U1vR	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Какая жалость	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	9	spotify:track:5k4iW5xDJoqWlEwu64U1vR	93.09	audio_features	2	-6.547	1	0.159	0.14	0.6	0.715	0.724	https://api.spotify.com/v1/tracks/5k4iW5xDJoqWlEwu64U1vR	https://api.spotify.com/v1/audio-analysis/5k4iW5xDJoqWlEwu64U1vR	154840	4	0.266	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
6	24	6yjsKkzqXZkMItdEtxju12	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Лето в столице	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	1	spotify:track:6yjsKkzqXZkMItdEtxju12	164.087	audio_features	9	-5.837	0	0.209	0.198	0.649	0.623	0.893	https://api.spotify.com/v1/tracks/6yjsKkzqXZkMItdEtxju12	https://api.spotify.com/v1/audio-analysis/6yjsKkzqXZkMItdEtxju12	206067	4	0.0845	3.46e-06	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
7	22	7fNyKfP5qw75DrbzlgA7x9	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	У. Е.	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	10	spotify:track:7fNyKfP5qw75DrbzlgA7x9	95.009	audio_features	9	-5.577	0	0.356	0.158	0.878	0.712	0.769	https://api.spotify.com/v1/tracks/7fNyKfP5qw75DrbzlgA7x9	https://api.spotify.com/v1/audio-analysis/7fNyKfP5qw75DrbzlgA7x9	162333	4	0.619	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
8	22	4RNdroGnLCDytzBwXtY1qH	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Не могу найти	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	5	spotify:track:4RNdroGnLCDytzBwXtY1qH	115.0	audio_features	0	-7.083	1	0.0398	0.476	0.104	0.557	0.691	https://api.spotify.com/v1/tracks/4RNdroGnLCDytzBwXtY1qH	https://api.spotify.com/v1/audio-analysis/4RNdroGnLCDytzBwXtY1qH	204520	4	0.0734	0.121	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
9	21	4qjPKuLvfMV7JDCZdytVw7	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Деньги	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	11	spotify:track:4qjPKuLvfMV7JDCZdytVw7	95.901	audio_features	7	-5.787	1	0.266	0.111	0.858	0.69	0.699	https://api.spotify.com/v1/tracks/4qjPKuLvfMV7JDCZdytVw7	https://api.spotify.com/v1/audio-analysis/4qjPKuLvfMV7JDCZdytVw7	154453	4	0.1	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
10	20	7dUOBPeCgfh5X1Fge3NHly	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Утро (он, а не я)	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	3	spotify:track:7dUOBPeCgfh5X1Fge3NHly	159.924	audio_features	4	-5.029	0	0.0312	0.452	0.31	0.417	0.803	https://api.spotify.com/v1/tracks/7dUOBPeCgfh5X1Fge3NHly	https://api.spotify.com/v1/audio-analysis/7dUOBPeCgfh5X1Fge3NHly	131093	4	0.00258	0.027	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
11	15	5uV013XoHUxkxzFJXf4QrO	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Выдыхай - ЛевПрав Версия	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	14	spotify:track:5uV013XoHUxkxzFJXf4QrO	99.65	audio_features	4	-5.516	0	0.0927	0.118	0.571	0.644	0.855	https://api.spotify.com/v1/tracks/5uV013XoHUxkxzFJXf4QrO	https://api.spotify.com/v1/audio-analysis/5uV013XoHUxkxzFJXf4QrO	188339	4	0.136	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
12	15	25Y2llVZSDC9xI61wjECmz	69v4ZOOomf1TNp59YYB1j7	5rKmFf43tkwEabLAqx9d8J	Моё море - ЛевПрав Версия	Noize MC	"Розыгрыш (Из к/ф ""Розыгрыш"")"	False	1	13	spotify:track:25Y2llVZSDC9xI61wjECmz	94.01	audio_features	0	-6.806	1	0.203	0.131	0.723	0.87	0.768	https://api.spotify.com/v1/tracks/25Y2llVZSDC9xI61wjECmz	https://api.spotify.com/v1/audio-analysis/25Y2llVZSDC9xI61wjECmz	148947	4	0.106	0.0	['russian hip hop', 'russian reggae', 'russian rock']	61	[]	49	2009-03-01
