	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_genres	album_popularity	album_release_date
0	54	6xYs0FAvS69A9wnLHv1GB8	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Танец злобного гения	Korol i Shut	Театръ демона	False	1	5	spotify:track:6xYs0FAvS69A9wnLHv1GB8	134.044	audio_features	11	-6.326	0	0.0399	0.306	0.42	0.659	0.708	https://api.spotify.com/v1/tracks/6xYs0FAvS69A9wnLHv1GB8	https://api.spotify.com/v1/audio-analysis/6xYs0FAvS69A9wnLHv1GB8	236013	4	0.461	0.0	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
1	45	2caZ79la1MD70eXyEzuPX4	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Фокусник	Korol i Shut	Театръ демона	False	1	4	spotify:track:2caZ79la1MD70eXyEzuPX4	130.013	audio_features	0	-5.96	1	0.0382	0.205	0.595	0.581	0.876	https://api.spotify.com/v1/tracks/2caZ79la1MD70eXyEzuPX4	https://api.spotify.com/v1/audio-analysis/2caZ79la1MD70eXyEzuPX4	213147	4	0.0855	8.4e-06	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
2	30	0Ufqnz2mlBhx57b2s7nOsU	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Бал лицемеров	Korol i Shut	Театръ демона	False	1	11	spotify:track:0Ufqnz2mlBhx57b2s7nOsU	120.029	audio_features	0	-4.845	1	0.095	0.133	0.772	0.602	0.916	https://api.spotify.com/v1/tracks/0Ufqnz2mlBhx57b2s7nOsU	https://api.spotify.com/v1/audio-analysis/0Ufqnz2mlBhx57b2s7nOsU	186413	4	0.0319	0.0	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
3	30	2U82LPV8aWMj61iJTZIYZ5	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Театральный демон	Korol i Shut	Театръ демона	False	1	2	spotify:track:2U82LPV8aWMj61iJTZIYZ5	154.009	audio_features	11	-5.846	0	0.0448	0.57	0.587	0.555	0.95	https://api.spotify.com/v1/tracks/2U82LPV8aWMj61iJTZIYZ5	https://api.spotify.com/v1/audio-analysis/2U82LPV8aWMj61iJTZIYZ5	213787	4	0.0621	1.34e-06	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
4	28	7ExYbISUguCQF8NA3uH2DH	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Тёмный учитель	Korol i Shut	Театръ демона	False	1	9	spotify:track:7ExYbISUguCQF8NA3uH2DH	136.066	audio_features	11	-7.111	0	0.138	0.35	0.381	0.367	0.718	https://api.spotify.com/v1/tracks/7ExYbISUguCQF8NA3uH2DH	https://api.spotify.com/v1/audio-analysis/7ExYbISUguCQF8NA3uH2DH	275653	4	0.23	0.0	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
5	26	7HXfNe1l4Tsfk0FW3lldKa	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Энди Кауфман	Korol i Shut	Театръ демона	False	1	6	spotify:track:7HXfNe1l4Tsfk0FW3lldKa	88.947	audio_features	11	-4.638	0	0.221	0.0779	0.594	0.582	0.807	https://api.spotify.com/v1/tracks/7HXfNe1l4Tsfk0FW3lldKa	https://api.spotify.com/v1/audio-analysis/7HXfNe1l4Tsfk0FW3lldKa	153093	4	0.144	0.0	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
6	25	6112iR7Xy4fmJLzst5TgzF	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Защитники	Korol i Shut	Театръ демона	False	1	12	spotify:track:6112iR7Xy4fmJLzst5TgzF	155.041	audio_features	7	-6.658	1	0.0338	0.138	0.218	0.514	0.866	https://api.spotify.com/v1/tracks/6112iR7Xy4fmJLzst5TgzF	https://api.spotify.com/v1/audio-analysis/6112iR7Xy4fmJLzst5TgzF	201840	4	0.071	1.63e-05	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
7	25	4iYwboDXp9oTMtgkobdAOb	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Король вечного сна	Korol i Shut	Театръ демона	False	1	10	spotify:track:4iYwboDXp9oTMtgkobdAOb	145.984	audio_features	9	-5.631	1	0.0851	0.388	0.548	0.555	0.902	https://api.spotify.com/v1/tracks/4iYwboDXp9oTMtgkobdAOb	https://api.spotify.com/v1/audio-analysis/4iYwboDXp9oTMtgkobdAOb	302613	4	0.0139	0.000544	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
8	25	3yyaZOaLr1d20cwZYJDwfO	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Мадам Жоржет	Korol i Shut	Театръ демона	False	1	7	spotify:track:3yyaZOaLr1d20cwZYJDwfO	124.009	audio_features	2	-7.263	0	0.0537	0.0994	0.382	0.465	0.706	https://api.spotify.com/v1/tracks/3yyaZOaLr1d20cwZYJDwfO	https://api.spotify.com/v1/audio-analysis/3yyaZOaLr1d20cwZYJDwfO	368160	4	0.427	0.00257	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
9	25	2YkzbC413L1EJsatOiCagx	0qc4X567Fs1DUbQ7bS2XSJ	675aIniOj0an8I1AWyoSeR	Киногерой	Korol i Shut	Театръ демона	False	1	3	spotify:track:2YkzbC413L1EJsatOiCagx	137.954	audio_features	9	-6.143	1	0.0442	0.166	0.399	0.542	0.781	https://api.spotify.com/v1/tracks/2YkzbC413L1EJsatOiCagx	https://api.spotify.com/v1/audio-analysis/2YkzbC413L1EJsatOiCagx	215333	4	0.34	8.48e-06	['classic russian rock', 'horror punk', 'russian folk rock', 'russian metal', 'russian punk', 'russian punk rock', 'russian rock', 'russian ska']	60	[]	50	2010-09-03
