	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_genres	album_popularity	album_release_date
0	68	1hfISzdAwnywAKxaSpfloo	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Положение	Scriptonite	Уроборос: Улица 36	True	1	6	spotify:track:1hfISzdAwnywAKxaSpfloo	62.922	audio_features	1	-8.893	0	0.322	0.146	0.243	0.58	0.539	https://api.spotify.com/v1/tracks/1hfISzdAwnywAKxaSpfloo	https://api.spotify.com/v1/audio-analysis/1hfISzdAwnywAKxaSpfloo	282621	4	0.542	0.000292	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
1	57	3a7g2znpwe4DUEAsZXkWHw	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Животные	Scriptonite	Уроборос: Улица 36	True	1	2	spotify:track:3a7g2znpwe4DUEAsZXkWHw	176.049	audio_features	10	-5.975	0	0.276	0.733	0.593	0.698	0.804	https://api.spotify.com/v1/tracks/3a7g2znpwe4DUEAsZXkWHw	https://api.spotify.com/v1/audio-analysis/3a7g2znpwe4DUEAsZXkWHw	182562	4	0.00865	4.55e-05	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
2	50	2MpprDNfYfuyNoygc8V82g	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Мистер 718	Scriptonite	Уроборос: Улица 36	True	1	3	spotify:track:2MpprDNfYfuyNoygc8V82g	112.053	audio_features	8	-7.062	0	0.0676	0.224	0.346	0.867	0.618	https://api.spotify.com/v1/tracks/2MpprDNfYfuyNoygc8V82g	https://api.spotify.com/v1/audio-analysis/2MpprDNfYfuyNoygc8V82g	226687	4	0.463	7.38e-06	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
3	50	7oHpmG8BzdbW2RTWZn0srN	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Трата времени	Scriptonite	Уроборос: Улица 36	True	1	10	spotify:track:7oHpmG8BzdbW2RTWZn0srN	144.088	audio_features	3	-8.218	0	0.129	0.17	0.503	0.751	0.448	https://api.spotify.com/v1/tracks/7oHpmG8BzdbW2RTWZn0srN	https://api.spotify.com/v1/audio-analysis/7oHpmG8BzdbW2RTWZn0srN	217403	4	0.493	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
4	46	7eLyNFj78bYlgVvamPPZ9p	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Интро / Время возвращаться	Scriptonite	Уроборос: Улица 36	True	1	1	spotify:track:7eLyNFj78bYlgVvamPPZ9p	105.004	audio_features	0	-9.869	0	0.133	0.38	0.657	0.72	0.611	https://api.spotify.com/v1/tracks/7eLyNFj78bYlgVvamPPZ9p	https://api.spotify.com/v1/audio-analysis/7eLyNFj78bYlgVvamPPZ9p	330000	4	0.691	0.00077	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
5	44	5P3zKIN4KUoEe2lWC0WlJc	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Внатуре	Scriptonite	Уроборос: Улица 36	True	1	7	spotify:track:5P3zKIN4KUoEe2lWC0WlJc	94.041	audio_features	5	-6.338	1	0.332	0.349	0.357	0.782	0.654	https://api.spotify.com/v1/tracks/5P3zKIN4KUoEe2lWC0WlJc	https://api.spotify.com/v1/audio-analysis/5P3zKIN4KUoEe2lWC0WlJc	252250	4	0.161	5.76e-05	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
6	44	4tPyAAMpbhVSSMAPNyzxEV	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Сливочное масло	Scriptonite	Уроборос: Улица 36	True	1	5	spotify:track:4tPyAAMpbhVSSMAPNyzxEV	85.984	audio_features	1	-6.747	1	0.371	0.349	0.456	0.774	0.592	https://api.spotify.com/v1/tracks/4tPyAAMpbhVSSMAPNyzxEV	https://api.spotify.com/v1/audio-analysis/4tPyAAMpbhVSSMAPNyzxEV	256859	4	0.089	0.000456	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
7	40	22WSMXcBxgMGdF47vEm490	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Пацан	Scriptonite	Уроборос: Улица 36	True	1	4	spotify:track:22WSMXcBxgMGdF47vEm490	92.037	audio_features	10	-8.353	0	0.354	0.403	0.363	0.735	0.568	https://api.spotify.com/v1/tracks/22WSMXcBxgMGdF47vEm490	https://api.spotify.com/v1/audio-analysis/22WSMXcBxgMGdF47vEm490	177391	4	0.145	0.000131	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
8	37	3iiB0R29jpoxEP5CQSu50i	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Мистер 718 2	Scriptonite	Уроборос: Улица 36	True	1	8	spotify:track:3iiB0R29jpoxEP5CQSu50i	105.294	audio_features	6	-9.295	0	0.533	0.0572	0.287	0.815	0.558	https://api.spotify.com/v1/tracks/3iiB0R29jpoxEP5CQSu50i	https://api.spotify.com/v1/audio-analysis/3iiB0R29jpoxEP5CQSu50i	200875	4	0.398	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
9	32	7wpoXdVF1EgAovi2IzzTL1	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Твой микстейп - Скит	Scriptonite	Уроборос: Улица 36	True	1	9	spotify:track:7wpoXdVF1EgAovi2IzzTL1	85.066	audio_features	7	-8.533	1	0.429	0.771	0.725	0.643	0.492	https://api.spotify.com/v1/tracks/7wpoXdVF1EgAovi2IzzTL1	https://api.spotify.com/v1/audio-analysis/7wpoXdVF1EgAovi2IzzTL1	105597	4	0.536	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
10	61	2z8QxqQ6Kesq4NFfi7A638	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Цепи	Scriptonite	Праздник на улице 36	True	1	4	spotify:track:2z8QxqQ6Kesq4NFfi7A638	159.96	audio_features	1	-8.797	1	0.31	0.262	0.564	0.719	0.661	https://api.spotify.com/v1/tracks/2z8QxqQ6Kesq4NFfi7A638	https://api.spotify.com/v1/audio-analysis/2z8QxqQ6Kesq4NFfi7A638	207161	4	0.0338	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
11	49	1Ah2Fvdog3EDfYYoJc3XUG	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Капли вниз по бёдрам	Scriptonite	Праздник на улице 36	True	1	1	spotify:track:1Ah2Fvdog3EDfYYoJc3XUG	111.04	audio_features	2	-10.171	0	0.0673	0.135	0.158	0.767	0.388	https://api.spotify.com/v1/tracks/1Ah2Fvdog3EDfYYoJc3XUG	https://api.spotify.com/v1/audio-analysis/1Ah2Fvdog3EDfYYoJc3XUG	232432	4	0.359	0.000222	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
12	49	1Lei6ZvahMUyV3aDLzoC3w	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Темно	Scriptonite	Праздник на улице 36	True	1	11	spotify:track:1Lei6ZvahMUyV3aDLzoC3w	89.979	audio_features	1	-11.682	1	0.147	0.116	0.137	0.782	0.296	https://api.spotify.com/v1/tracks/1Lei6ZvahMUyV3aDLzoC3w	https://api.spotify.com/v1/audio-analysis/1Lei6ZvahMUyV3aDLzoC3w	170690	4	0.0759	3.08e-05	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
13	49	1pACadXJeooicnYmxnH3IV	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Ага, ну	Scriptonite	Праздник на улице 36	True	1	8	spotify:track:1pACadXJeooicnYmxnH3IV	119.618	audio_features	11	-9.663	1	0.39	0.307	0.521	0.698	0.519	https://api.spotify.com/v1/tracks/1pACadXJeooicnYmxnH3IV	https://api.spotify.com/v1/audio-analysis/1pACadXJeooicnYmxnH3IV	187395	4	0.634	0.00737	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
14	49	2mFV4oDCKyV3KF6uEHlMQ4	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Поворот	Scriptonite	Праздник на улице 36	True	1	6	spotify:track:2mFV4oDCKyV3KF6uEHlMQ4	108.047	audio_features	9	-10.107	0	0.264	0.0247	0.583	0.803	0.613	https://api.spotify.com/v1/tracks/2mFV4oDCKyV3KF6uEHlMQ4	https://api.spotify.com/v1/audio-analysis/2mFV4oDCKyV3KF6uEHlMQ4	244444	4	0.269	0.000669	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
15	48	0X7atdlWDvcuYPOdkaax3t	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Не забирай меня с пати	Scriptonite	Праздник на улице 36	True	1	10	spotify:track:0X7atdlWDvcuYPOdkaax3t	119.975	audio_features	5	-8.793	1	0.0843	0.182	0.265	0.74	0.585	https://api.spotify.com/v1/tracks/0X7atdlWDvcuYPOdkaax3t	https://api.spotify.com/v1/audio-analysis/0X7atdlWDvcuYPOdkaax3t	237500	4	0.37	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
16	41	0XPBWhFJZ9lTv6sZNVkd2H	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Оставь их	Scriptonite	Праздник на улице 36	True	1	12	spotify:track:0XPBWhFJZ9lTv6sZNVkd2H	111.053	audio_features	2	-7.941	0	0.0472	0.166	0.163	0.678	0.458	https://api.spotify.com/v1/tracks/0XPBWhFJZ9lTv6sZNVkd2H	https://api.spotify.com/v1/audio-analysis/0XPBWhFJZ9lTv6sZNVkd2H	310448	4	0.0797	0.000424	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
17	42	1eX425bpr1YEUIIgYuCKum	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Напомни	Scriptonite	Праздник на улице 36	True	1	2	spotify:track:1eX425bpr1YEUIIgYuCKum	91.973	audio_features	1	-9.308	1	0.118	0.28	0.0714	0.752	0.404	https://api.spotify.com/v1/tracks/1eX425bpr1YEUIIgYuCKum	https://api.spotify.com/v1/audio-analysis/1eX425bpr1YEUIIgYuCKum	201625	4	0.0218	3.78e-05	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
18	41	0LLmy3p6uYTiyCNPQYVyg2	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Первый	Scriptonite	Праздник на улице 36	True	1	7	spotify:track:0LLmy3p6uYTiyCNPQYVyg2	98.024	audio_features	6	-9.158	0	0.197	0.316	0.44	0.795	0.485	https://api.spotify.com/v1/tracks/0LLmy3p6uYTiyCNPQYVyg2	https://api.spotify.com/v1/audio-analysis/0LLmy3p6uYTiyCNPQYVyg2	237550	4	0.302	1.58e-06	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
19	38	0tvQrTTqZUOTuTwJuVY1Op	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Точно не нужно новых	Scriptonite	Праздник на улице 36	True	1	5	spotify:track:0tvQrTTqZUOTuTwJuVY1Op	107.972	audio_features	1	-7.816	1	0.189	0.212	0.285	0.788	0.579	https://api.spotify.com/v1/tracks/0tvQrTTqZUOTuTwJuVY1Op	https://api.spotify.com/v1/audio-analysis/0tvQrTTqZUOTuTwJuVY1Op	245087	4	0.0315	4.95e-05	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
20	36	1rOhhBFSNiujDXXgdYYgia	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Outro	Scriptonite	Праздник на улице 36	True	1	13	spotify:track:1rOhhBFSNiujDXXgdYYgia	110.662	audio_features	0	-7.594	1	0.651	0.151	0.576	0.627	0.562	https://api.spotify.com/v1/tracks/1rOhhBFSNiujDXXgdYYgia	https://api.spotify.com/v1/audio-analysis/1rOhhBFSNiujDXXgdYYgia	153253	5	0.34	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
