	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_genres	album_popularity	album_release_date
0	62	14JceK2UBLd0UUm23N5lRy	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Малый повзрослел	Max Korzh	Малый повзрослел, Ч. 1	True	1	2	spotify:track:14JceK2UBLd0UUm23N5lRy	139.961	audio_features	4	-7.442	0	0.128	0.12	0.207	0.66	0.52	https://api.spotify.com/v1/tracks/14JceK2UBLd0UUm23N5lRy	https://api.spotify.com/v1/audio-analysis/14JceK2UBLd0UUm23N5lRy	207429	4	0.115	0.00541	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
1	49	47Cnb6vIqVwPvpv39CgYJJ	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Мой друг	Max Korzh	Малый повзрослел, Ч. 1	False	1	9	spotify:track:47Cnb6vIqVwPvpv39CgYJJ	75.948	audio_features	9	-8.511	0	0.119	0.285	0.58	0.61	0.279	https://api.spotify.com/v1/tracks/47Cnb6vIqVwPvpv39CgYJJ	https://api.spotify.com/v1/audio-analysis/47Cnb6vIqVwPvpv39CgYJJ	213000	4	0.77	0.0	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
2	46	1aT5oQ7dMpCGasCl5154iP	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Стилево	Max Korzh	Малый повзрослел, Ч. 1	True	1	4	spotify:track:1aT5oQ7dMpCGasCl5154iP	122.616	audio_features	11	-4.64	0	0.381	0.0869	0.876	0.594	0.676	https://api.spotify.com/v1/tracks/1aT5oQ7dMpCGasCl5154iP	https://api.spotify.com/v1/audio-analysis/1aT5oQ7dMpCGasCl5154iP	110083	4	0.0166	0.0	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
3	43	5Gul3AN3FLUePBf93Yd7QU	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Своё заберу	Max Korzh	Малый повзрослел, Ч. 1	False	1	1	spotify:track:5Gul3AN3FLUePBf93Yd7QU	199.857	audio_features	9	-6.85	0	0.36	0.581	0.173	0.415	0.735	https://api.spotify.com/v1/tracks/5Gul3AN3FLUePBf93Yd7QU	https://api.spotify.com/v1/audio-analysis/5Gul3AN3FLUePBf93Yd7QU	235200	4	0.0545	2e-06	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
4	43	2UPXscs5RKYbzZ2eIv57C7	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Маклауд	Max Korzh	Малый повзрослел, Ч. 1	True	1	3	spotify:track:2UPXscs5RKYbzZ2eIv57C7	96.942	audio_features	5	-5.051	0	0.0603	0.0915	0.625	0.907	0.72	https://api.spotify.com/v1/tracks/2UPXscs5RKYbzZ2eIv57C7	https://api.spotify.com/v1/audio-analysis/2UPXscs5RKYbzZ2eIv57C7	178144	4	0.176	0.0	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
5	41	1BO1mdPpJr7EKJzDiicZMJ	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Без косяка	Max Korzh	Малый повзрослел, Ч. 1	True	1	5	spotify:track:1BO1mdPpJr7EKJzDiicZMJ	130.002	audio_features	2	-6.2	1	0.0502	0.0883	0.0756	0.933	0.716	https://api.spotify.com/v1/tracks/1BO1mdPpJr7EKJzDiicZMJ	https://api.spotify.com/v1/audio-analysis/1BO1mdPpJr7EKJzDiicZMJ	162506	4	0.0626	0.011	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
6	37	3ygCMCP75yWNnR0nHBKWhx	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Настоящий	Max Korzh	Малый повзрослел, Ч. 1	False	1	7	spotify:track:3ygCMCP75yWNnR0nHBKWhx	119.952	audio_features	0	-8.18	1	0.0326	0.0726	0.639	0.737	0.393	https://api.spotify.com/v1/tracks/3ygCMCP75yWNnR0nHBKWhx	https://api.spotify.com/v1/audio-analysis/3ygCMCP75yWNnR0nHBKWhx	229000	4	0.695	0.000744	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
7	36	5wTQSiqWdQc8aPh6IfwghU	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Эмилия	Max Korzh	Малый повзрослел, Ч. 1	False	1	8	spotify:track:5wTQSiqWdQc8aPh6IfwghU	134.065	audio_features	10	-11.784	1	0.0602	0.159	0.324	0.557	0.358	https://api.spotify.com/v1/tracks/5wTQSiqWdQc8aPh6IfwghU	https://api.spotify.com/v1/audio-analysis/5wTQSiqWdQc8aPh6IfwghU	206418	4	0.581	0.000502	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
8	35	6N34ZHkPTvEFTkyw5TKD6r	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Крутой чел	Max Korzh	Малый повзрослел, Ч. 1	True	1	6	spotify:track:6N34ZHkPTvEFTkyw5TKD6r	145.038	audio_features	9	-5.965	0	0.0473	0.314	0.329	0.626	0.695	https://api.spotify.com/v1/tracks/6N34ZHkPTvEFTkyw5TKD6r	https://api.spotify.com/v1/audio-analysis/6N34ZHkPTvEFTkyw5TKD6r	268552	4	0.159	0.0	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
9	31	1tvVN54IT47bEI2vZxSZnY	5meD8C7oGK5yUEY2T7ZZ7W	1s8iD2ldDPm79e3KRZmDuk	Бессонница - Zest Remix	Max Korzh	Малый повзрослел, Ч. 1	False	1	10	spotify:track:1tvVN54IT47bEI2vZxSZnY	75.012	audio_features	4	-3.783	0	0.0438	0.143	0.0557	0.475	0.856	https://api.spotify.com/v1/tracks/1tvVN54IT47bEI2vZxSZnY	https://api.spotify.com/v1/audio-analysis/1tvVN54IT47bEI2vZxSZnY	176000	4	0.112	0.0	['belarusian hip hop', 'russian hip hop']	65	[]	58	2016-11-28
10	89	6gBFPUFcJLzWGx4lenP6h2	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	goosebumps	Travis Scott	Birds In The Trap Sing McKnight	True	1	9	spotify:track:6gBFPUFcJLzWGx4lenP6h2	130.049	audio_features	7	-3.37	1	0.0484	0.149	0.43	0.841	0.728	https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2	https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2	243837	4	0.0847	0.0	['rap']	93	[]	85	2016-09-16
11	71	1Ci4wASMY4xtKVMeHA6Sd5	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	through the late night	Travis Scott	Birds In The Trap Sing McKnight	True	1	4	spotify:track:1Ci4wASMY4xtKVMeHA6Sd5	127.051	audio_features	5	-1.218	0	0.0359	0.119	0.242	0.744	0.589	https://api.spotify.com/v1/tracks/1Ci4wASMY4xtKVMeHA6Sd5	https://api.spotify.com/v1/audio-analysis/1Ci4wASMY4xtKVMeHA6Sd5	286236	4	0.36	0.0	['rap']	93	[]	85	2016-09-16
12	73	0ESJlaM8CE1jRWaNtwSNj8	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	beibs in the trap	Travis Scott	Birds In The Trap Sing McKnight	True	1	5	spotify:track:0ESJlaM8CE1jRWaNtwSNj8	119.054	audio_features	7	-6.054	0	0.145	0.291	0.495	0.743	0.571	https://api.spotify.com/v1/tracks/0ESJlaM8CE1jRWaNtwSNj8	https://api.spotify.com/v1/audio-analysis/0ESJlaM8CE1jRWaNtwSNj8	213863	4	0.24	0.0	['rap']	93	[]	85	2016-09-16
13	69	1cZlBZwnwGPtYeRIeQcoFh	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	wonderful	Travis Scott	Birds In The Trap Sing McKnight	True	1	14	spotify:track:1cZlBZwnwGPtYeRIeQcoFh	146.062	audio_features	1	-5.591	0	0.0786	0.0571	0.612	0.769	0.569	https://api.spotify.com/v1/tracks/1cZlBZwnwGPtYeRIeQcoFh	https://api.spotify.com/v1/audio-analysis/1cZlBZwnwGPtYeRIeQcoFh	216946	4	0.0737	0.0	['rap']	93	[]	85	2016-09-16
14	68	2Zy7XVdxyZQB8xp5xbpJdl	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	way back	Travis Scott	Birds In The Trap Sing McKnight	True	1	2	spotify:track:2Zy7XVdxyZQB8xp5xbpJdl	117.384	audio_features	0	-5.048	1	0.0488	0.612	0.17	0.396	0.554	https://api.spotify.com/v1/tracks/2Zy7XVdxyZQB8xp5xbpJdl	https://api.spotify.com/v1/audio-analysis/2Zy7XVdxyZQB8xp5xbpJdl	272501	4	0.222	0.0	['rap']	93	[]	85	2016-09-16
15	65	7pas6O1LYbaeChEFQBhPFU	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	coordinate	Travis Scott	Birds In The Trap Sing McKnight	True	1	3	spotify:track:7pas6O1LYbaeChEFQBhPFU	75.615	audio_features	1	-4.155	1	0.0695	0.335	0.28	0.688	0.658	https://api.spotify.com/v1/tracks/7pas6O1LYbaeChEFQBhPFU	https://api.spotify.com/v1/audio-analysis/7pas6O1LYbaeChEFQBhPFU	226397	4	0.105	1.89e-06	['rap']	93	[]	85	2016-09-16
16	65	33zbOXJSwW7uf4VXXWow2O	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	the ends	Travis Scott	Birds In The Trap Sing McKnight	True	1	1	spotify:track:33zbOXJSwW7uf4VXXWow2O	171.853	audio_features	4	-4.121	0	0.191	0.0904	0.0497	0.585	0.737	https://api.spotify.com/v1/tracks/33zbOXJSwW7uf4VXXWow2O	https://api.spotify.com/v1/audio-analysis/33zbOXJSwW7uf4VXXWow2O	201263	4	0.0661	0.0	['rap']	93	[]	85	2016-09-16
17	64	4gh0ZnHzaTMT1sDga7Ek0N	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	sdp interlude	Travis Scott	Birds In The Trap Sing McKnight	True	1	6	spotify:track:4gh0ZnHzaTMT1sDga7Ek0N	108.164	audio_features	0	-8.15	0	0.0586	0.118	0.588	0.507	0.586	https://api.spotify.com/v1/tracks/4gh0ZnHzaTMT1sDga7Ek0N	https://api.spotify.com/v1/audio-analysis/4gh0ZnHzaTMT1sDga7Ek0N	191623	4	0.599	0.0544	['rap']	93	[]	85	2016-09-16
18	63	177WEvlLsCc0FzCTWslawr	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	outside	Travis Scott	Birds In The Trap Sing McKnight	True	1	8	spotify:track:177WEvlLsCc0FzCTWslawr	165.906	audio_features	2	-3.471	1	0.311	0.103	0.494	0.758	0.616	https://api.spotify.com/v1/tracks/177WEvlLsCc0FzCTWslawr	https://api.spotify.com/v1/audio-analysis/177WEvlLsCc0FzCTWslawr	176488	4	0.503	0.0	['rap']	93	[]	85	2016-09-16
19	64	01Ch5LzVStxCFPKkT1xg6k	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	sweet sweet	Travis Scott	Birds In The Trap Sing McKnight	True	1	7	spotify:track:01Ch5LzVStxCFPKkT1xg6k	142.028	audio_features	0	-5.245	0	0.0417	0.403	0.447	0.733	0.578	https://api.spotify.com/v1/tracks/01Ch5LzVStxCFPKkT1xg6k	https://api.spotify.com/v1/audio-analysis/01Ch5LzVStxCFPKkT1xg6k	222318	4	0.0859	1.19e-06	['rap']	93	[]	85	2016-09-16
20	62	2AGUFka8kBWCM47h5uTlDb	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	lose	Travis Scott	Birds In The Trap Sing McKnight	True	1	12	spotify:track:2AGUFka8kBWCM47h5uTlDb	125.999	audio_features	7	-3.947	0	0.053	0.176	0.279	0.832	0.557	https://api.spotify.com/v1/tracks/2AGUFka8kBWCM47h5uTlDb	https://api.spotify.com/v1/audio-analysis/2AGUFka8kBWCM47h5uTlDb	200453	4	0.307	0.0	['rap']	93	[]	85	2016-09-16
21	60	2c2csx4OTYtbkzvbSTXlGY	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	guidance	Travis Scott	Birds In The Trap Sing McKnight	True	1	13	spotify:track:2c2csx4OTYtbkzvbSTXlGY	139.98	audio_features	11	-2.943	1	0.24	0.41	0.453	0.702	0.753	https://api.spotify.com/v1/tracks/2c2csx4OTYtbkzvbSTXlGY	https://api.spotify.com/v1/audio-analysis/2c2csx4OTYtbkzvbSTXlGY	207107	4	0.0609	1.38e-06	['rap']	93	[]	85	2016-09-16
22	61	6wwruKU956ldDyz55DZTt1	0Y5tJX1MQlPlqiwlOH1tJY	42WVQWuf1teDysXiOupIZt	first take	Travis Scott	Birds In The Trap Sing McKnight	True	1	10	spotify:track:6wwruKU956ldDyz55DZTt1	71.313	audio_features	7	-3.8	1	0.16	0.095	0.0895	0.423	0.536	https://api.spotify.com/v1/tracks/6wwruKU956ldDyz55DZTt1	https://api.spotify.com/v1/audio-analysis/6wwruKU956ldDyz55DZTt1	313909	5	0.015	0.0	['rap']	93	[]	85	2016-09-16
23	73	20dP2DaMHIAmwWAbp7peSr	50co4Is1HCEo8bhOyUWKpn	42WVQWuf1teDysXiOupIZt	pick up the phone	Young Thug	Birds In The Trap Sing McKnight	True	1	11	spotify:track:20dP2DaMHIAmwWAbp7peSr	136.919	audio_features	7	-3.804	0	0.129	0.226	0.43	0.711	0.739	https://api.spotify.com/v1/tracks/20dP2DaMHIAmwWAbp7peSr	https://api.spotify.com/v1/audio-analysis/20dP2DaMHIAmwWAbp7peSr	252256	4	0.114	0.0	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']	90	[]	85	2016-09-16
24	64	5cgEadiGKjtTP1Q6NJqVP5	0Y5tJX1MQlPlqiwlOH1tJY	4Q9gIbDuQiVOexTyDxx9V0	A-Team	Travis Scott	A-Team	True	1	1	spotify:track:5cgEadiGKjtTP1Q6NJqVP5	127.977	audio_features	7	-4.112	0	0.0452	0.107	0.17	0.626	0.526	https://api.spotify.com/v1/tracks/5cgEadiGKjtTP1Q6NJqVP5	https://api.spotify.com/v1/audio-analysis/5cgEadiGKjtTP1Q6NJqVP5	176640	4	0.0485	0.00627	['rap']	93	[]	57	2016-02-06
25	56	4w98f7dBwMsNAcVlLaL9GU	5NipqMGsY4AUeb7kGT8aVz	76EepByuN0RbXKN7ihklzr	Рашан моуст уонтэд	kizaru	Mas Fuerte	True	1	7	spotify:track:4w98f7dBwMsNAcVlLaL9GU	143.916	audio_features	1	-7.592	0	0.175	0.235	0.542	0.77	0.698	https://api.spotify.com/v1/tracks/4w98f7dBwMsNAcVlLaL9GU	https://api.spotify.com/v1/audio-analysis/4w98f7dBwMsNAcVlLaL9GU	196333	4	0.0679	0.0389	['russian hip hop', 'russian trap']	69	[]	55	2016-10-12
26	50	6yFpfImuuu01weWVgU57UR	5NipqMGsY4AUeb7kGT8aVz	76EepByuN0RbXKN7ihklzr	Оу щит	kizaru	Mas Fuerte	True	1	5	spotify:track:6yFpfImuuu01weWVgU57UR	134.047	audio_features	4	-7.1	0	0.0431	0.103	0.311	0.795	0.571	https://api.spotify.com/v1/tracks/6yFpfImuuu01weWVgU57UR	https://api.spotify.com/v1/audio-analysis/6yFpfImuuu01weWVgU57UR	166992	4	0.0164	0.0193	['russian hip hop', 'russian trap']	69	[]	55	2016-10-12
27	43	0g8miyWr2g99kCw13DeV2Z	5NipqMGsY4AUeb7kGT8aVz	76EepByuN0RbXKN7ihklzr	Час пик 2	kizaru	Mas Fuerte	True	1	3	spotify:track:0g8miyWr2g99kCw13DeV2Z	110.985	audio_features	8	-9.51	1	0.403	0.756	0.435	0.847	0.646	https://api.spotify.com/v1/tracks/0g8miyWr2g99kCw13DeV2Z	https://api.spotify.com/v1/audio-analysis/0g8miyWr2g99kCw13DeV2Z	215587	4	0.331	0.000215	['russian hip hop', 'russian trap']	69	[]	55	2016-10-12
28	42	7yzuQtrGXEHjgPMucXSS2n	5NipqMGsY4AUeb7kGT8aVz	76EepByuN0RbXKN7ihklzr	Лидер	kizaru	Mas Fuerte	True	1	12	spotify:track:7yzuQtrGXEHjgPMucXSS2n	115.984	audio_features	8	-7.271	1	0.254	0.11	0.311	0.853	0.643	https://api.spotify.com/v1/tracks/7yzuQtrGXEHjgPMucXSS2n	https://api.spotify.com/v1/audio-analysis/7yzuQtrGXEHjgPMucXSS2n	217652	4	0.11	3.56e-05	['russian hip hop', 'russian trap']	69	[]	55	2016-10-12
29	41	0eza4RhIBDEnESygFl16Rk	5NipqMGsY4AUeb7kGT8aVz	76EepByuN0RbXKN7ihklzr	Марихуана	kizaru	Mas Fuerte	True	1	9	spotify:track:0eza4RhIBDEnESygFl16Rk	107.269	audio_features	1	-5.488	1	0.0342	0.194	0.0632	0.455	0.684	https://api.spotify.com/v1/tracks/0eza4RhIBDEnESygFl16Rk	https://api.spotify.com/v1/audio-analysis/0eza4RhIBDEnESygFl16Rk	164826	3	0.0237	0.86	['russian hip hop', 'russian trap']	69	[]	55	2016-10-12
