	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_genres	album_popularity	album_release_date
0	62	1P9oRiZJWnxe2pZmYUZ5eC	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	Это любовь	Scriptonite	Дом с нормальными явлениями	True	1	18	spotify:track:1P9oRiZJWnxe2pZmYUZ5eC	139.945	audio_features	0	-10.972	0	0.0596	0.173	0.128	0.358	0.416	https://api.spotify.com/v1/tracks/1P9oRiZJWnxe2pZmYUZ5eC	https://api.spotify.com/v1/audio-analysis/1P9oRiZJWnxe2pZmYUZ5eC	279250	3	0.325	0.356	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
1	55	6nvXTYOmS7ES6BWuRASHHL	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	Танцуй сама	Scriptonite	Дом с нормальными явлениями	True	1	8	spotify:track:6nvXTYOmS7ES6BWuRASHHL	98.022	audio_features	10	-9.969	0	0.375	0.0776	0.366	0.676	0.542	https://api.spotify.com/v1/tracks/6nvXTYOmS7ES6BWuRASHHL	https://api.spotify.com/v1/audio-analysis/6nvXTYOmS7ES6BWuRASHHL	276750	4	0.453	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
2	51	6z0FugLk3PX3uE9QpXqWoH	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	Притон	Scriptonite	Дом с нормальными явлениями	True	1	7	spotify:track:6z0FugLk3PX3uE9QpXqWoH	130.11	audio_features	3	-9.355	0	0.054	0.105	0.105	0.613	0.514	https://api.spotify.com/v1/tracks/6z0FugLk3PX3uE9QpXqWoH	https://api.spotify.com/v1/audio-analysis/6z0FugLk3PX3uE9QpXqWoH	235750	4	0.105	0.000844	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
3	51	3H49cfXiRznOzHEcphIr3j	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	Вечеринка	Scriptonite	Дом с нормальными явлениями	True	1	17	spotify:track:3H49cfXiRznOzHEcphIr3j	83.076	audio_features	10	-9.647	0	0.113	0.0887	0.169	0.304	0.489	https://api.spotify.com/v1/tracks/3H49cfXiRznOzHEcphIr3j	https://api.spotify.com/v1/audio-analysis/3H49cfXiRznOzHEcphIr3j	363250	4	0.659	0.00987	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
4	44	2X0iFqgmDYFSjrNaFp2W8c	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	Я не улыбаюсь	Scriptonite	Дом с нормальными явлениями	True	1	16	spotify:track:2X0iFqgmDYFSjrNaFp2W8c	124.026	audio_features	1	-9.738	0	0.345	0.234	0.372	0.782	0.467	https://api.spotify.com/v1/tracks/2X0iFqgmDYFSjrNaFp2W8c	https://api.spotify.com/v1/audio-analysis/2X0iFqgmDYFSjrNaFp2W8c	280470	4	0.551	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
5	44	3M5Ynn33wPnPfXLVQEaxlO	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	Сука тащит нас на дно	Scriptonite	Дом с нормальными явлениями	True	1	10	spotify:track:3M5Ynn33wPnPfXLVQEaxlO	100.599	audio_features	6	-12.81	0	0.495	0.152	0.338	0.603	0.386	https://api.spotify.com/v1/tracks/3M5Ynn33wPnPfXLVQEaxlO	https://api.spotify.com/v1/audio-analysis/3M5Ynn33wPnPfXLVQEaxlO	410556	4	0.359	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
6	43	27dx3EcWHKHs7wkr6z9RuE	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	Дома	Scriptonite	Дом с нормальными явлениями	True	1	2	spotify:track:27dx3EcWHKHs7wkr6z9RuE	132.052	audio_features	6	-7.658	0	0.318	0.146	0.547	0.568	0.644	https://api.spotify.com/v1/tracks/27dx3EcWHKHs7wkr6z9RuE	https://api.spotify.com/v1/audio-analysis/27dx3EcWHKHs7wkr6z9RuE	212602	4	0.0423	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
7	41	7rio1rSLsltqkZdmN9OzU1	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	Коньяк	Scriptonite	Дом с нормальными явлениями	True	1	5	spotify:track:7rio1rSLsltqkZdmN9OzU1	172.08	audio_features	5	-9.83	0	0.397	0.171	0.417	0.466	0.491	https://api.spotify.com/v1/tracks/7rio1rSLsltqkZdmN9OzU1	https://api.spotify.com/v1/audio-analysis/7rio1rSLsltqkZdmN9OzU1	141833	4	0.168	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
8	40	0UqBQNPLy0txwTOfTGZMXS	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	Бумажки	Scriptonite	Дом с нормальными явлениями	True	1	13	spotify:track:0UqBQNPLy0txwTOfTGZMXS	105.924	audio_features	6	-10.813	1	0.217	0.0847	0.246	0.704	0.456	https://api.spotify.com/v1/tracks/0UqBQNPLy0txwTOfTGZMXS	https://api.spotify.com/v1/audio-analysis/0UqBQNPLy0txwTOfTGZMXS	322250	4	0.14	5.67e-06	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
9	40	3BMMHl6h8VkI4lW9jKSuEL	3vvLuXEEf7sl3izJcw0GIn	7j7tgADtrPaN7Rrfb8qIcI	100 поцелуев	Scriptonite	Дом с нормальными явлениями	True	1	12	spotify:track:3BMMHl6h8VkI4lW9jKSuEL	119.358	audio_features	1	-7.742	1	0.0632	0.312	0.248	0.539	0.67	https://api.spotify.com/v1/tracks/3BMMHl6h8VkI4lW9jKSuEL	https://api.spotify.com/v1/audio-analysis/3BMMHl6h8VkI4lW9jKSuEL	155729	4	0.199	0.00322	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	61	2015
